﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
16,16+261.5,25.004506,121.4381,884ba0a091fffff,894ba0a09c7ffff,8a4ba0a09c4ffff,8b4ba0a09c4afff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
16,16+300.0,25.004527,121.4377,884ba0a09dfffff,894ba0a09c7ffff,8a4ba0a09c4ffff,8b4ba0a09c4efff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
16,16+400.0,25.004577,121.4368,884ba0a09dfffff,894ba0a09c7ffff,8a4ba0a09c47fff,8b4ba0a09c42fff,10(浮洲出土段)**,行動北區營運處,新北營運中心,
16,16+500.0,25.004601,121.4358,884ba0a09dfffff,894ba0a09c7ffff,8a4ba0a09c77fff,8b4ba0a09c73fff,10(浮洲出土段)**,行動北區營運處,新北營運中心,延伸段
16,16+511.5,25.004602,121.4356,884ba0a09dfffff,894ba0a09c7ffff,8a4ba0a09c77fff,8b4ba0a09c72fff,10(浮洲出土段)**,行動北區營運處,新北營運中心,延伸段
16,16+600.0,25.004583,121.4348,884ba0a09dfffff,894ba0a09c3ffff,8a4ba0a09c2ffff,8b4ba0a09c2bfff,10(浮洲出土段)**,行動北區營運處,新北營運中心,延伸段
16,16+684.9,25.004532,121.4339,884ba0a09dfffff,894ba0a09c3ffff,8a4ba0a09c07fff,8b4ba0a09c05fff,10,行動北區營運處,新北營運中心,
16,16+700.0,25.00452,121.4338,884ba0a09dfffff,894ba0a09c3ffff,8a4ba0a09c07fff,8b4ba0a09c05fff,10,行動北區營運處,新北營運中心,
16,16+800.0,25.004411,121.4328,884ba0a09dfffff,894ba0a09c3ffff,8a4ba0a09c37fff,8b4ba0a09c35fff,10,行動北區營運處,新北營運中心,
16,16+900.0,25.00427,121.4318,884ba0a09dfffff,894ba0a09dbffff,8a4ba0a09daffff,8b4ba0a09da9fff,10,行動北區營運處,新北營運中心,
17,17+000.0,25.004112,121.4308,884ba0a09dfffff,894ba0a09dbffff,8a4ba0a09daffff,8b4ba0a09daefff,11,行動北區營運處,新北營運中心,
17,17+100.0,25.003962,121.4299,884ba0a09dfffff,894ba0a09dbffff,8a4ba0a09da7fff,8b4ba0a09da2fff,11,行動北區營運處,新北營運中心,
17,17+184.9,25.003852,121.429,884ba0a08bfffff,894ba0a09dbffff,8a4ba0a08a5ffff,8b4ba0a08a5bfff,11,行動北區營運處,新北營運中心,
17,17+200.0,25.003835,121.4289,884ba0a08bfffff,894ba0a08a7ffff,8a4ba0a08a5ffff,8b4ba0a08a5bfff,11,行動北區營運處,新北營運中心,
17,17+300.0,25.003738,121.4279,884ba0a08bfffff,894ba0a08afffff,8a4ba0a08aeffff,8b4ba0a08aedfff,11,行動北區營運處,新北營運中心,
